Sl. No,UNITS,Population in Lakhs,Crime rate for 2019,Category,Crime_Type,Crimes,Year,% Variation in 2019 over 2018
1556,Rachakonda,43.71,6.95,Bodily Crimes,Rape,286,2018,0.063
1557,Ramagundam,16.12,4.4,Bodily Crimes,Rape,55,2018,0.291
1558,Siddipet,10.22,5.28,Bodily Crimes,Rape,34,2018,0.588
1559,Warangal,23.75,3.12,Bodily Crimes,Rape,51,2018,0.451
1560,Adilabad,7.53,4.25,Bodily Crimes,Rape,27,2018,0.185
1561,Bhadradri Kothagudem,11.12,6.21,Bodily Crimes,Rape,54,2018,0.278
1562,jagtial,9.95,2.91,Bodily Crimes,Rape,34,2018,-0.147
1563,Jayashankar Bhupalpally,4.26,2.11,Bodily Crimes,Rape,23,2018,-0.609
1564,Jogulamba Gadwal,6.19,4.85,Bodily Crimes,Rape,20,2018,0.5
1565,Kamareddy,10.04,2.39,Bodily Crimes,Rape,20,2018,0.2
1566,Kumaram Bheem Asifabad,5.25,5.33,Bodily Crimes,Rape,24,2018,0.167
1567,Mahabubabad,7.84,4.97,Bodily Crimes,Rape,22,2018,0.773
1568,Mahabubnagar,9.29,9.58,Bodily Crimes,Rape,110,2018,-0.191
1569,Medak,7.88,4.31,Bodily Crimes,Rape,33,2018,0.03
1570,Mulugu,2.93,2.39,Bodily Crimes,Rape,,2018,0
1571,Nagarkurnool,8.71,2.76,Bodily Crimes,Rape,35,2018,-0.314
1572,Nalgonda,16.52,4.72,Bodily Crimes,Rape,52,2018,0.5
1573,Narayanpet,5.76,5.73,Bodily Crimes,Rape,,2018,0
1574,Nirmal,7.19,2.5,Bodily Crimes,Rape,27,2018,-0.333
1575,Rajanna Sircilla,5.62,3.56,Bodily Crimes,Rape,12,2018,0.667
1576,Sanga Reddy,15.37,3.38,Bodily Crimes,Rape,40,2018,0.3
1577,Suryapet,11.09,6.4,Bodily Crimes,Rape,58,2018,0.224
1578,Vikarabad,9.37,5.44,Bodily Crimes,Rape,20,2018,1.55
1579,Wanaparthy,5.87,4.77,Bodily Crimes,Rape,36,2018,-0.222
1580,RP Secunderabad,,0,Bodily Crimes,Rape,1,2018,0
1581,CID,,0,Bodily Crimes,Rape,1,2018,-1
1582,Cyberabad,62.1,4.57,Bodily Crimes,Rape,284,2019,0.136
1583,Hyderabad,39.53,7.24,Bodily Crimes,Rape,286,2019,0.144
1584,Karimnagar,10.15,2.46,Bodily Crimes,Rape,25,2019,-0.286
1585,Khammam,14.11,5.24,Bodily Crimes,Rape,74,2019,0.276
1586,Nizamabad,15.87,3.84,Bodily Crimes,Rape,61,2019,1.259
1587,Rachakonda,43.71,6.95,Bodily Crimes,Rape,304,2019,0.063
1588,Ramagundam,16.12,4.4,Bodily Crimes,Rape,71,2019,0.291
1589,Siddipet,10.22,5.28,Bodily Crimes,Rape,54,2019,0.588
1590,Warangal,23.75,3.12,Bodily Crimes,Rape,74,2019,0.451
1591,Adilabad,7.53,4.25,Bodily Crimes,Rape,32,2019,0.185
1592,Bhadradri Kothagudem,11.12,6.21,Bodily Crimes,Rape,69,2019,0.278
1593,jagtial,9.95,2.91,Bodily Crimes,Rape,29,2019,-0.147
1594,Jayashankar Bhupalpally,4.26,2.11,Bodily Crimes,Rape,9,2019,-0.609
1595,Jogulamba Gadwal,6.19,4.85,Bodily Crimes,Rape,30,2019,0.5
1596,Kamareddy,10.04,2.39,Bodily Crimes,Rape,24,2019,0.2
1597,Kumaram Bheem Asifabad,5.25,5.33,Bodily Crimes,Rape,28,2019,0.167
1598,Mahabubabad,7.84,4.97,Bodily Crimes,Rape,39,2019,0.773
1599,Mahabubnagar,9.29,9.58,Bodily Crimes,Rape,89,2019,-0.191
1600,Medak,7.88,4.31,Bodily Crimes,Rape,34,2019,0.03
1601,Mulugu,2.93,2.39,Bodily Crimes,Rape,7,2019,0
1602,Nagarkurnool,8.71,2.76,Bodily Crimes,Rape,24,2019,-0.314
1603,Nalgonda,16.52,4.72,Bodily Crimes,Rape,78,2019,0.5
1604,Narayanpet,5.76,5.73,Bodily Crimes,Rape,33,2019,0
1605,Nirmal,7.19,2.5,Bodily Crimes,Rape,18,2019,-0.333
1606,Rajanna Sircilla,5.62,3.56,Bodily Crimes,Rape,20,2019,0.667
1607,Sanga Reddy,15.37,3.38,Bodily Crimes,Rape,52,2019,0.3
1608,Suryapet,11.09,6.4,Bodily Crimes,Rape,71,2019,0.224
1609,Vikarabad,9.37,5.44,Bodily Crimes,Rape,51,2019,1.55
1610,Wanaparthy,5.87,4.77,Bodily Crimes,Rape,28,2019,-0.222
1611,RP Secunderabad,,0,Bodily Crimes,Rape,1,2019,0
1612,CID,,0,Bodily Crimes,Rape,,2019,-1
1613,Cyberabad,62.1,0.18,Bodily Crimes,Rioting,28,2018,-0.607
1614,Hyderabad,39.53,0.86,Bodily Crimes,Rioting,34,2018,0
1615,Karimnagar,10.15,1.08,Bodily Crimes,Rioting,33,2018,-0.667
1616,Khammam,14.11,5.17,Bodily Crimes,Rioting,41,2018,0.78
1617,Nizamabad,15.87,2.21,Bodily Crimes,Rioting,11,2018,2.182
1618,Rachakonda,43.71,2.54,Bodily Crimes,Rioting,60,2018,0.85
1619,Ramagundam,16.12,0.93,Bodily Crimes,Rioting,23,2018,-0.348
1620,Siddipet,10.22,0.78,Bodily Crimes,Rioting,11,2018,-0.273
1621,Warangal,23.75,2.65,Bodily Crimes,Rioting,54,2018,0.167
1622,Adilabad,7.53,2.92,Bodily Crimes,Rioting,16,2018,0.375
1623,Bhadradri Kothagudem,11.12,2.61,Bodily Crimes,Rioting,35,2018,-0.171
1624,jagtial,9.95,2.01,Bodily Crimes,Rioting,30,2018,-0.333
1625,Jayashankar Bhupalpally,4.26,3.29,Bodily Crimes,Rioting,21,2018,-0.333
1626,Jogulamba Gadwal,6.19,0.16,Bodily Crimes,Rioting,6,2018,-0.833
1627,Kamareddy,10.04,1.39,Bodily Crimes,Rioting,12,2018,0.167
1628,Kumaram Bheem Asifabad,5.25,1.52,Bodily Crimes,Rioting,20,2018,-0.6
1629,Mahabubabad,7.84,9.31,Bodily Crimes,Rioting,84,2018,-0.131
1630,Mahabubnagar,9.29,0.54,Bodily Crimes,Rioting,12,2018,-0.583
1631,Medak,7.88,0.63,Bodily Crimes,Rioting,11,2018,-0.545
1632,Mulugu,2.93,2.39,Bodily Crimes,Rioting,7,2018,0
1633,Nagarkurnool,8.71,0,Bodily Crimes,Rioting,3,2018,-1
1634,Nalgonda,16.52,2.36,Bodily Crimes,Rioting,20,2018,0.95
1635,Narayanpet,5.76,1.56,Bodily Crimes,Rioting,9,2018,0
1636,Nirmal,7.19,1.67,Bodily Crimes,Rioting,11,2018,0.091
1637,Rajanna Sircilla,5.62,4.27,Bodily Crimes,Rioting,17,2018,0.412
1638,Sanga Reddy,15.37,1.04,Bodily Crimes,Rioting,14,2018,0.143
1639,Suryapet,11.09,2.98,Bodily Crimes,Rioting,14,2018,1.357
1640,Vikarabad,9.37,0.75,Bodily Crimes,Rioting,9,2018,-0.222
1641,Wanaparthy,5.87,0.68,Bodily Crimes,Rioting,3,2018,0.333
1642,RP Secunderabad,,0,Bodily Crimes,Rioting,0,2018,0
1643,CID,,0,Bodily Crimes,Rioting,,2018,0
1644,Cyberabad,62.1,0.18,Bodily Crimes,Rioting,11,2019,-0.607
1645,Hyderabad,39.53,0.86,Bodily Crimes,Rioting,34,2019,0
1646,Karimnagar,10.15,1.08,Bodily Crimes,Rioting,11,2019,-0.667
1647,Khammam,14.11,5.17,Bodily Crimes,Rioting,73,2019,0.78
1648,Nizamabad,15.87,2.21,Bodily Crimes,Rioting,35,2019,2.182
1649,Rachakonda,43.71,2.54,Bodily Crimes,Rioting,111,2019,0.85
1650,Ramagundam,16.12,0.93,Bodily Crimes,Rioting,15,2019,-0.348
1651,Siddipet,10.22,0.78,Bodily Crimes,Rioting,8,2019,-0.273
1652,Warangal,23.75,2.65,Bodily Crimes,Rioting,63,2019,0.167
1653,Adilabad,7.53,2.92,Bodily Crimes,Rioting,22,2019,0.375
1654,Bhadradri Kothagudem,11.12,2.61,Bodily Crimes,Rioting,29,2019,-0.171
1655,jagtial,9.95,2.01,Bodily Crimes,Rioting,20,2019,-0.333
1656,Jayashankar Bhupalpally,4.26,3.29,Bodily Crimes,Rioting,14,2019,-0.333
1657,Jogulamba Gadwal,6.19,0.16,Bodily Crimes,Rioting,1,2019,-0.833
1658,Kamareddy,10.04,1.39,Bodily Crimes,Rioting,14,2019,0.167
1659,Kumaram Bheem Asifabad,5.25,1.52,Bodily Crimes,Rioting,8,2019,-0.6
1660,Mahabubabad,7.84,9.31,Bodily Crimes,Rioting,73,2019,-0.131
1661,Mahabubnagar,9.29,0.54,Bodily Crimes,Rioting,5,2019,-0.583
1662,Medak,7.88,0.63,Bodily Crimes,Rioting,5,2019,-0.545
1663,Mulugu,2.93,2.39,Bodily Crimes,Rioting,,2019,0
1664,Nagarkurnool,8.71,0,Bodily Crimes,Rioting,0,2019,-1
1665,Nalgonda,16.52,2.36,Bodily Crimes,Rioting,39,2019,0.95
1666,Narayanpet,5.76,1.56,Bodily Crimes,Rioting,,2019,0
1667,Nirmal,7.19,1.67,Bodily Crimes,Rioting,12,2019,0.091
1668,Rajanna Sircilla,5.62,4.27,Bodily Crimes,Rioting,24,2019,0.412
1669,Sanga Reddy,15.37,1.04,Bodily Crimes,Rioting,16,2019,0.143
1670,Suryapet,11.09,2.98,Bodily Crimes,Rioting,33,2019,1.357
1671,Vikarabad,9.37,0.75,Bodily Crimes,Rioting,7,2019,-0.222
1672,Wanaparthy,5.87,0.68,Bodily Crimes,Rioting,4,2019,0.333
1673,RP Secunderabad,,0,Bodily Crimes,Rioting,0,2019,0
1674,CID,,0,Bodily Crimes,Rioting,,2019,0
1675,Cyberabad,62.1,4.23510467,Crime Against Children,Kidnapping_Abduction,263,2018,0.48
1676,Hyderabad,39.53,4.857070579,Crime Against Children,Kidnapping_Abduction,192,2018,-0.07
1677,Karimnagar,10.15,1.379310345,Crime Against Children,Kidnapping_Abduction,14,2018,-0.21
1678,Khammam,14.11,5.386250886,Crime Against Children,Kidnapping_Abduction,76,2018,0
1679,Nizamabad,15.87,0.56710775,Crime Against Children,Kidnapping_Abduction,9,2018,0.44
1680,Rachakonda,43.71,0.892244338,Crime Against Children,Kidnapping_Abduction,39,2018,-0.82
1681,Ramagundam,16.12,0.806451613,Crime Against Children,Kidnapping_Abduction,13,2018,1.38
1682,Siddipet,10.22,1.174168297,Crime Against Children,Kidnapping_Abduction,12,2018,-0.5
1683,Warangal,23.75,4.547368421,Crime Against Children,Kidnapping_Abduction,108,2018,0.35
1684,Adilabad,7.53,1.062416999,Crime Against Children,Kidnapping_Abduction,8,2018,1
1685,Bhadradri Kothagudem,11.12,1.528776978,Crime Against Children,Kidnapping_Abduction,17,2018,1.76
1686,jagtial,9.95,0,Crime Against Children,Kidnapping_Abduction,0,2018,0
1687,Jayashankar Bhupalpally,4.26,3.990610329,Crime Against Children,Kidnapping_Abduction,17,2018,-0.94
1688,Jogulamba Gadwal,6.19,0.969305331,Crime Against Children,Kidnapping_Abduction,6,2018,0
1689,Kamareddy,10.04,0.996015936,Crime Against Children,Kidnapping_Abduction,10,2018,-0.8
1690,Kumaram Bheem Asifabad,5.25,0.380952381,Crime Against Children,Kidnapping_Abduction,2,2018,-0.5
